D.O. (mg/l),Temp,PH,Turbidity (NTU),CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,label
5.7,20.99,7.81,197,189,2,0.2,8391,0
6.3,20.98,7.81,197,179,1.7,0.1,5330,0
5.8,20.98,7.81,197,64,3.8,0.5,8443,0
5.8,20.98,7.81,197,83,1.9,0.4,5500,0
5.5,20.97,7.81,197,81,1.5,0.1,4049,0
6.1,20.97,7.81,197,308,1.4,0.3,5672,0
6.4,20.95,7.81,197,414,1,0.2,9423,0
6.4,20.94,7.81,197,305,2.2,0.1,4990,0
6.3,20.93,7.81,197,77,2.3,0.1,4301,0
7.1,20.92,7.81,197,176,1.2,0.1,7817,0
6.7,20.93,7.81,197,93,1.4,0.1,3433,0
7.4,20.93,7.81,197,121,1.7,0.4,18125,0
6.9,20.91,7.8,197,620,1.1,0.1,6300,0
6,20.9,7.8,197,72,1.6,0.2,9517,0
7.3,20.9,7.8,197,247,1.5,0.2,2453,0
7.3,20.89,7.8,197,188,1,0.1,3048,0
7,20.9,7.8,197,224,1.2,0.3,6742,0
7.3,20.89,7.8,197,144,1.5,0.1,3052,0
5.3,20.88,7.8,197,319,1.8,0.3,10250,0
6.3,20.86,7.8,197,79,1.6,1.4,12842,0
5.4,20.85,7.8,197,39,1.4,0.1,6367,0
2.2,20.84,7.8,197,322,4.7,1.2,14920,0
5.2,20.81,7.8,197,192,2.6,0.3,8925,0
5.6,20.79,7.79,197,282,1.8,0.1,5082,0
5.5,20.75,7.79,197,275,1.5,0.1,8625,0
7.3,20.75,7.79,197,55,1.4,0.1,4003,0
6.5,20.74,7.79,197,415,2,0.1,1538,0
7.2,20.75,7.79,197,100,1.5,0.1,13575,0
6.6,20.74,7.79,197,95,4.9,0.2,36,0
6.9,20.71,7.79,197,99,5,0.4,34,0
6.8,20.69,7.79,197,85,5.2,0.3,23,0
6.7,20.68,7.79,197,80,4.9,0.3,29,0
5.1,20.65,7.78,197,3937,10.3,1.8,83,0
5.6,20.67,7.78,197,468,3.6,1.9,164,0
6.4,20.64,7.78,197,541,5.7,0.6,45,0
5.5,20.66,7.78,197,6166,7.7,1.1,67,0
5.3,20.63,7.78,197,24062,9.9,1.2,304,0
6.7,20.6,7.78,197,83,4.8,0.2,76,0
3.6,20.6,7.78,197,4424,31.3,2.2,474,0
7.2,20.59,7.78,197,226,3.1,0.8,130,0
5.9,20.6,7.78,197,268,6.4,0.4,68,0
5.4,20.6,7.78,197,2413,7.4,1.5,116,0
5.8,20.58,7.77,197,384,5.4,0.6,78,0
5.9,20.57,7.77,197,269,5.1,1.2,60,0
6,20.57,7.77,197,269,8.5,0.4,58,0
6.1,20.54,7.77,197,196,6.1,0.5,63,0
5.9,20.54,7.77,197,269,6.4,0.4,47,0
6.3,20.55,7.77,197,223,4.6,0.9,32,0
6.7,20.55,7.77,197,9293,3.5,1.8,0,0
6.8,20.55,7.77,197,170,3.1,1.4,0,0
6.8,20.52,7.77,197,4175,3.3,1.6,0,0
6.9,20.51,7.76,197,4282,3.3,1.6,0,0
6.9,20.48,7.76,197,5551,3.4,1.7,0,0
6.8,20.5,7.76,197,5390,4.9,0.8,28,0
6.6,20.49,7.76,197,161,4.6,0.3,32,0
6.7,20.47,7.76,197,138,5,0.3,33,0
6.7,20.49,7.76,197,81,4.9,0.3,35,0
5.9,20.5,7.76,197,194,5.5,0.6,51,0
6.3,20.52,7.76,197,186,4.6,0.6,31,0
6.6,20.51,7.76,197,207,4.7,0.7,31,0
6.8,20.49,7.75,197,85,5,0.4,34,0
7.1,20.51,7.75,197,176,2.7,0.9,30,0
7,20.49,7.75,197,178,2.7,0.9,40,0
7.2,20.46,7.75,197,180,2.7,1,70,0
6.7,20.46,7.75,197,85,1.4,1,420,0
5.8,20.43,7.75,197,77,1.4,0.8,691,0
6.6,20.43,7.75,197,75,1.4,0.7,448,0
6.7,20.44,7.75,197,82,1.4,1,443,0
6.7,20.41,7.75,197,56,0.9,0.2,172,0
6.5,20.4,7.75,197,2240,1.2,0.2,304,0
6.3,20.41,7.74,197,73,1.6,0,2008,0
7,20.42,7.74,197,130,0.7,0.1,590,0
6.6,20.42,7.74,197,191,1.6,0.2,661,0
6.9,20.42,7.74,197,134,1.1,0.4,531,0
7,20.44,7.74,197,80,0.8,0.4,3583,0
6.7,20.43,7.74,197,14526,0.8,0.6,1969,0
7.2,20.43,7.74,197,82,0.7,0.5,1311,0
7.5,20.44,7.74,197,67,1.1,0.1,590,0
3,20.45,7.74,197,965,1.7,1.2,530,0
5.9,20.45,7.74,197,17990,0.7,0.5,2803,0
6.7,20.44,7.74,197,90,1.6,0.9,473,0
6.1,20.42,7.73,197,4429,2,1.6,550,0
6.7,20.42,7.73,197,87,1.7,0.2,350,0
6.9,20.42,7.73,197,85,1.6,0.2,206,0
2.1,20.41,7.73,197,101,1.6,0.8,694,0
2.5,20.41,7.73,197,83,1.9,0.3,656,0
7.2,20.38,7.73,197,75,1.4,1,426,0
